index,win,loss,teamId,timestamp,year,status_id
5,1,0,1610612743,2014-10-31 00:00:00,2014,2
6,1,0,1610612740,2014-10-31 00:00:00,2014,2
7,1,0,1610612761,2014-10-31 00:00:00,2014,2
8,2,0,1610612745,2014-10-31 00:00:00,2014,2
9,2,0,1610612756,2014-10-31 00:00:00,2014,2
10,1,0,1610612744,2014-10-31 00:00:00,2014,2
11,1,1,1610612749,2014-10-31 00:00:00,2014,2
12,1,1,1610612741,2014-10-31 00:00:00,2014,2
13,1,1,1610612739,2014-10-31 00:00:00,2014,2
14,1,1,1610612758,2014-10-31 00:00:00,2014,2
15,1,1,1610612752,2014-10-31 00:00:00,2014,2
16,1,1,1610612742,2014-10-31 00:00:00,2014,2
17,1,1,1610612754,2014-10-31 00:00:00,2014,2
18,1,1,1610612759,2014-10-31 00:00:00,2014,2
